,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,1296.3795166015625,372.0988159179688,1328.57666015625,388.0524597167969,0.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,183.78705,1.4632729,"[array([149.17792], dtype=float32), np.float32(81.83894)]","[[3.7711847]
 [2.7003064]
 [1.7662407]
 [0.8869415]
 [0.5482043]
 [0.8035011]
 [1.0105212]
 [1.4175936]
 [1.9879537]
 [3.2533722]
 [4.8795877]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,1292.19677734375,374.5168762207031,1324.6634521484375,391.3489685058594,1.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,180.06935,1.7726105,"[array([233.39644], dtype=float32), np.float32(48.401154)]","[[3.8093019 ]
 [2.7867703 ]
 [1.7995527 ]
 [1.20101   ]
 [0.8102015 ]
 [0.90585226]
 [1.3021791 ]
 [1.566859  ]
 [2.0287304 ]
 [3.3047507 ]
 [4.7890444 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
2,1288.835693359375,376.5318908691406,1321.9122314453125,393.4202880859375,2.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,204.18634,1.5211135,"[array([238.15808], dtype=float32), np.float32(47.618088)]","[[3.8562107]
 [2.81237  ]
 [1.8017813]
 [1.2375222]
 [0.8265098]
 [0.9122008]
 [1.325238 ]
 [1.5941869]
 [2.0499654]
 [3.3596478]
 [4.8087163]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
3,1284.9320068359375,379.4018249511719,1318.5311279296875,395.7402648925781,3.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,192.99648,1.6696812,"[array([257.60916], dtype=float32), np.float32(38.710037)]","[[3.9038596 ]
 [2.8000224 ]
 [1.8210543 ]
 [1.2421823 ]
 [0.92800516]
 [0.9028221 ]
 [1.3314356 ]
 [1.5723615 ]
 [2.033969  ]
 [3.335375  ]
 [4.8602386 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
4,1280.99072265625,382.0481872558594,1314.1734619140625,399.05767822265625,4.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,231.19394,1.3237417,"[array([253.25296], dtype=float32), np.float32(39.877945)]","[[3.876307  ]
 [2.7597473 ]
 [1.8350289 ]
 [1.2331752 ]
 [0.89930296]
 [0.90173006]
 [1.3344284 ]
 [1.5605611 ]
 [2.0196507 ]
 [3.2639456 ]
 [4.7657676 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
5,1277.720458984375,383.5190734863281,1311.779052734375,400.8029174804688,5.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,177.96394,1.8378043,"[array([254.8896], dtype=float32), np.float32(39.271484)]","[[3.8576937 ]
 [2.7286944 ]
 [1.8403013 ]
 [1.2406064 ]
 [0.89665014]
 [0.91013163]
 [1.3478585 ]
 [1.5653745 ]
 [2.0347621 ]
 [3.227859  ]
 [4.7321744 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
6,1273.91650390625,386.2677612304688,1308.3388671875,403.54681396484375,6.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,196.5706,1.6493139,"[array([260.49045], dtype=float32), np.float32(38.631943)]","[[3.8675668 ]
 [2.7725868 ]
 [1.8535676 ]
 [1.2684685 ]
 [0.941932  ]
 [0.89721143]
 [1.3925965 ]
 [1.5703167 ]
 [2.0905628 ]
 [3.3117232 ]
 [4.7743535 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
7,1269.9395751953125,389.1646728515625,1303.910888671875,406.7293090820313,7.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,175.45055,1.9228845,"[array([270.14777], dtype=float32), np.float32(34.95964)]","[[3.875533 ]
 [2.774686 ]
 [1.8440465]
 [1.3154144]
 [0.9607414]
 [0.9233646]
 [1.3924819]
 [1.5769193]
 [2.1041079]
 [3.2744682]
 [4.7956176]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
8,1267.575439453125,390.86279296875,1301.1180419921875,408.9791870117188,8.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,182.70642,1.8257887,"[array([271.0725], dtype=float32), np.float32(34.2377)]","[[3.8682668]
 [2.7700298]
 [1.8226599]
 [1.312401 ]
 [0.9718882]
 [0.9154728]
 [1.4105513]
 [1.5757313]
 [2.078547 ]
 [3.2538984]
 [4.7532287]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
9,1264.4434814453125,393.2945861816406,1297.2420654296875,410.8947143554688,9.0,3.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_4_processado.avi,308.2885,0.96169174,"[array([259.62024], dtype=float32), np.float32(38.326508)]","[[3.853971  ]
 [2.7319474 ]
 [1.814735  ]
 [1.292017  ]
 [0.91618115]
 [0.9054411 ]
 [1.3946952 ]
 [1.5715799 ]
 [2.0870247 ]
 [3.2095625 ]
 [4.715162  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
