,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,469.9641418457031,554.210693359375,496.6707763671875,580.368896484375,0.0,32.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,149.17569,2.5578177,"[array([274.5228], dtype=float32), np.float32(41.848724)]","[[3.7576199]
 [3.1228113]
 [1.9762119]
 [1.1275805]
 [1.0327264]
 [1.1353235]
 [1.2427939]
 [1.9765209]
 [2.6316445]
 [3.3166187]
 [5.3185964]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,421.7341003417969,557.6522827148438,444.3081970214844,580.2554321289062,3.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,275.71375,1.3571723,"[array([357.0205], dtype=float32), np.float32(12.651718)]","[[3.8068323]
 [3.0861235]
 [1.9149874]
 [1.4340042]
 [1.3905983]
 [1.1770093]
 [1.318538 ]
 [1.9938293]
 [2.5841837]
 [3.2546792]
 [5.2504673]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
2,333.3993835449219,565.9414672851562,357.4228210449219,586.61376953125,9.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,358.38342,1.0345005,"[array([358.80795], dtype=float32), np.float32(11.5416565)]","[[3.825536 ]
 [3.0385094]
 [1.9243759]
 [1.4593656]
 [1.4055898]
 [1.1690066]
 [1.3069576]
 [1.9973735]
 [2.5055518]
 [3.2421665]
 [5.247662 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
3,318.5446472167969,567.5348510742188,345.1880187988281,589.0917358398438,10.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,264.1646,1.4461622,"[array([370.7778], dtype=float32), np.float32(7.7772064)]","[[3.8181996]
 [3.0586898]
 [1.9843059]
 [1.4638804]
 [1.3579293]
 [1.1768392]
 [1.4318358]
 [2.0127404]
 [2.4766438]
 [3.2417884]
 [5.265935 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
4,299.2474365234375,575.9246215820312,331.60858154296875,595.1261596679688,11.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,265.85654,1.4502279,"[array([375.8993], dtype=float32), np.float32(6.656372)]","[[3.8706038]
 [3.0671542]
 [1.9925588]
 [1.4783342]
 [1.3707858]
 [1.190013 ]
 [1.4500101]
 [2.0158257]
 [2.4674866]
 [3.2813087]
 [5.274956 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
5,291.1080017089844,580.7621459960938,320.0265197753906,599.4227905273438,12.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-18-17_track_279_cam_0_tracking_17_processado.avi,422.13358,0.9414692,"[array([395.06683], dtype=float32), np.float32(2.5055542)]","[[3.8106654]
 [3.1290982]
 [2.0496657]
 [1.4900525]
 [1.4314696]
 [1.2622728]
 [1.4703943]
 [2.1079247]
 [2.568125 ]
 [3.273417 ]
 [5.279968 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
