,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,454.9376525878906,382.7620849609375,473.8670349121094,400.13177490234375,0.0,1.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_17-24-46_track_458_cam_0_tracking_50_processado.avi,3678.8772,0.11919298,"[array([441.65588], dtype=float32), np.float32(-26.50801)]","[[3.9819663]
 [2.6829152]
 [2.0121896]
 [1.6373723]
 [1.5828546]
 [1.3343989]
 [1.4249762]
 [1.659515 ]
 [2.3694675]
 [2.643322 ]
 [4.5500445]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,451.8376770019531,389.8858947753906,471.423828125,407.3717651367188,1.0,1.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_17-24-46_track_458_cam_0_tracking_50_processado.avi,10429.303,0.04075274,"[array([425.72357], dtype=float32), np.float32(-17.200363)]","[[4.0389705]
 [2.7218008]
 [1.9523306]
 [1.5961294]
 [1.6205775]
 [1.4341365]
 [1.3384176]
 [1.6700265]
 [2.4606323]
 [2.750157 ]
 [4.6257596]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
