,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,936.1231079101562,207.0954742431641,943.1254272460938,216.0692443847656,0.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_12-26-12_track_339_cam_0_tracking_37_processado.avi,-1,0,"[array([365.79562], dtype=float32), np.float32(-6.889511)]","[[4.280703 ]
 [2.8287249]
 [1.8467565]
 [1.3479606]
 [1.180531 ]
 [1.2627643]
 [1.439794 ]
 [1.6249912]
 [1.8329298]
 [3.5121286]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,932.2062377929688,205.9081878662109,938.7658081054688,214.89251708984372,1.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_12-26-12_track_339_cam_0_tracking_37_processado.avi,-1,0,"[array([384.73245], dtype=float32), np.float32(-16.892654)]","[[4.192909 ]
 [2.7946663]
 [1.846762 ]
 [1.3897344]
 [1.2602268]
 [1.2921789]
 [1.4120414]
 [1.5952029]
 [1.7283909]
 [3.41059  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
2,927.6995239257812,204.4950408935547,934.530029296875,213.74951171875,2.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_12-26-12_track_339_cam_0_tracking_37_processado.avi,-1,0,"[array([396.10507], dtype=float32), np.float32(-21.63974)]","[[4.0765033]
 [2.7681367]
 [1.8420221]
 [1.3861731]
 [1.2882991]
 [1.2895153]
 [1.3985239]
 [1.5780126]
 [1.9176707]
 [3.366982 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
3,924.5574951171876,204.0261383056641,931.1947021484376,213.05307006835935,3.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_12-26-12_track_339_cam_0_tracking_37_processado.avi,-1,0,"[array([405.96094], dtype=float32), np.float32(-24.877502)]","[[4.066021 ]
 [2.7584991]
 [1.8410172]
 [1.4167451]
 [1.302948 ]
 [1.3026404]
 [1.4103652]
 [1.6034043]
 [1.9522923]
 [3.3754926]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
4,920.7159423828124,203.3643798828125,927.4576416015624,212.2490692138672,4.0,34.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_12-26-12_track_339_cam_0_tracking_37_processado.avi,-1,0,"[array([408.37033], dtype=float32), np.float32(-23.343887)]","[[4.1718273]
 [2.842014 ]
 [1.8483936]
 [1.4372472]
 [1.324476 ]
 [1.3207335]
 [1.4160858]
 [1.6136717]
 [1.9935609]
 [3.3829205]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
