,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,1269.8614501953125,232.860595703125,1294.4390869140625,251.38218688964844,0.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,154.1315,2.0452125,"[array([151.57109], dtype=float32), np.float32(80.0213)]","[[3.6982834 ]
 [2.6614943 ]
 [1.7618656 ]
 [0.9446774 ]
 [0.54744965]
 [0.89918756]
 [1.0564219 ]
 [1.1267493 ]
 [1.8825084 ]
 [3.0894291 ]
 [4.715948  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,1266.0570068359375,233.06686401367188,1290.00537109375,251.4190826416016,1.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,168.37022,1.7951955,"[array([205.56157], dtype=float32), np.float32(53.86371)]","[[3.7432446 ]
 [2.577948  ]
 [1.6385236 ]
 [1.0963206 ]
 [0.70816934]
 [0.88571113]
 [1.1785381 ]
 [1.2977426 ]
 [1.961347  ]
 [3.1323857 ]
 [4.6645126 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
2,1258.4608154296875,233.07212829589844,1283.0030517578125,251.12014770507807,2.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,163.94138,1.8912332,"[array([208.23923], dtype=float32), np.float32(53.83374)]","[[3.7397408]
 [2.5581007]
 [1.7080561]
 [1.1242186]
 [0.7175794]
 [0.8639389]
 [1.2230812]
 [1.359638 ]
 [1.9846408]
 [3.054617 ]
 [4.5625176]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
3,1248.9007568359375,233.90151977539065,1274.4061279296875,251.82730102539065,3.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,206.34737,1.3768013,"[array([209.49934], dtype=float32), np.float32(54.183548)]","[[3.7733312 ]
 [2.596983  ]
 [1.7560033 ]
 [1.1099657 ]
 [0.72815526]
 [0.86805046]
 [1.1991943 ]
 [1.3947804 ]
 [1.9911282 ]
 [3.196529  ]
 [4.6747265 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
4,1243.2486572265625,234.892333984375,1269.0841064453125,252.74978637695312,4.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,149.84418,2.212449,"[array([211.50313], dtype=float32), np.float32(54.247345)]","[[3.8028936 ]
 [2.6321974 ]
 [1.8279349 ]
 [1.1382221 ]
 [0.73747784]
 [0.86604774]
 [1.2154454 ]
 [1.3691679 ]
 [2.0158694 ]
 [3.2256227 ]
 [4.639328  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
5,1235.8045654296875,235.98684692382807,1262.03759765625,253.92726135253903,5.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,169.96951,1.8237898,"[array([219.27194], dtype=float32), np.float32(49.740784)]","[[3.814158 ]
 [2.637816 ]
 [1.7483513]
 [1.1092423]
 [0.7694309]
 [0.8648307]
 [1.227396 ]
 [1.4195348]
 [1.973878 ]
 [3.168435 ]
 [4.6651416]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
6,1227.39306640625,236.109375,1254.96484375,254.42153930664065,6.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,132.22826,2.6010683,"[array([235.6786], dtype=float32), np.float32(41.619873)]","[[3.830617 ]
 [2.657682 ]
 [1.6871631]
 [1.1148958]
 [0.8599751]
 [0.8530367]
 [1.2274106]
 [1.409398 ]
 [2.0180035]
 [3.1841316]
 [4.6839256]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
7,1221.7647705078125,236.40069580078125,1249.8082275390625,254.4681396484375,7.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,155.0525,2.0550697,"[array([226.45479], dtype=float32), np.float32(44.85927)]","[[3.770302  ]
 [2.6410468 ]
 [1.663421  ]
 [1.100455  ]
 [0.81425923]
 [0.8437225 ]
 [1.2190146 ]
 [1.3931886 ]
 [1.9955785 ]
 [3.140314  ]
 [4.6986694 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
8,1215.242431640625,237.8086853027344,1244.0157470703125,255.4720458984375,8.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,121.088394,3.0182972,"[array([224.17061], dtype=float32), np.float32(46.81784)]","[[3.773106  ]
 [2.6661444 ]
 [1.6818837 ]
 [1.0968275 ]
 [0.79677147]
 [0.85729575]
 [1.2287927 ]
 [1.4243494 ]
 [1.9998803 ]
 [3.1550536 ]
 [4.6858325 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
9,1208.1317138671875,239.6414031982422,1237.482421875,257.2127685546875,9.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_10-08-35_track_18_cam_0_tracking_3_processado.avi,136.09451,2.4768,"[array([254.07799], dtype=float32), np.float32(33.511353)]","[[3.7792232 ]
 [2.6050196 ]
 [1.6878635 ]
 [1.1452285 ]
 [0.91821605]
 [0.88576305]
 [1.2737267 ]
 [1.4670384 ]
 [1.9409751 ]
 [3.1541035 ]
 [4.510407  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
