,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,821.9857788085938,854.1810913085938,836.8375854492188,868.2655029296875,0.0,38.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,278.6883544921875,1.1491094827651978,"[array([300.14368], dtype=float32), np.float32(17.491623)]","[[3.512345 ]
 [2.5895238]
 [1.7276981]
 [1.2541679]
 [0.9560962]
 [1.1889381]
 [1.3637028]
 [1.4912814]
 [1.9962627]
 [3.2170303]
 [4.1922526]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
1,817.179931640625,854.2656860351562,832.2657470703125,867.517333984375,1.0,38.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,474.1932373046875,0.7486539483070374,"[array([354.566], dtype=float32), np.float32(0.5885315)]","[[3.542454 ]
 [2.7151594]
 [2.0626192]
 [1.3729539]
 [1.1812732]
 [1.159708 ]
 [1.3646538]
 [1.6506804]
 [2.071306 ]
 [3.2632542]
 [4.316704 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
2,772.6736450195312,677.0595703125,787.585693359375,691.4390869140625,3.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,513.821533203125,0.6934512853622437,"[array([355.81216], dtype=float32), np.float32(0.71817017)]","[[3.6164157]
 [2.672716 ]
 [2.077274 ]
 [1.4617695]
 [1.1809995]
 [1.1504664]
 [1.3448504]
 [1.6265363]
 [2.0653594]
 [3.2850888]
 [4.3818274]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
3,776.6092529296875,676.7617797851562,791.7481079101562,691.0353393554688,4.0,39.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,392.60235595703125,0.9160894751548767,"[array([360.7051], dtype=float32), np.float32(-1.1420441)]","[[3.568748 ]
 [2.663565 ]
 [2.07281  ]
 [1.4685708]
 [1.193353 ]
 [1.1512039]
 [1.3538897]
 [1.6435944]
 [2.1068888]
 [3.2402525]
 [4.386684 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
4,835.3656616210938,498.5444030761719,853.1531982421875,517.3594970703125,8.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,269.22979736328125,1.2362396717071533,"[array([305.21494], dtype=float32), np.float32(22.339996)]","[[3.5738838 ]
 [2.7320437 ]
 [2.1675215 ]
 [1.2761041 ]
 [0.98262805]
 [1.3456299 ]
 [1.3694606 ]
 [1.4803802 ]
 [2.0473084 ]
 [3.2000308 ]
 [4.015681  ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
5,838.5957641601562,496.8396911621094,856.7979125976562,515.9695434570312,9.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,404.3022766113281,0.8136788010597229,"[array([313.75906], dtype=float32), np.float32(18.696747)]","[[3.55258  ]
 [2.735804 ]
 [2.1827824]
 [1.3611501]
 [0.9897388]
 [1.3115399]
 [1.3546286]
 [1.4832993]
 [2.0779593]
 [3.221405 ]
 [3.9672842]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
6,841.1637573242188,495.5277404785156,859.501953125,514.6777954101562,10.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,465.09161376953125,0.693536639213562,"[array([307.27246], dtype=float32), np.float32(22.0401)]","[[3.553001  ]
 [2.780376  ]
 [2.1743538 ]
 [1.3852904 ]
 [0.96609324]
 [1.2834936 ]
 [1.3725289 ]
 [1.482918  ]
 [2.0956933 ]
 [3.2278075 ]
 [3.9974778 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
7,844.8106689453125,494.1803588867188,862.912109375,513.8262939453125,11.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,488.77105712890625,0.6775395274162292,"[array([318.75177], dtype=float32), np.float32(18.316193)]","[[3.5876377]
 [2.803434 ]
 [2.200625 ]
 [1.4198081]
 [0.9942481]
 [1.3304712]
 [1.354998 ]
 [1.5348479]
 [2.0639014]
 [3.2467592]
 [3.9495533]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
8,849.0510864257812,492.6902160644531,867.1070556640625,512.3102416992188,12.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,1107.5748291015625,0.29894235730171204,"[array([327.5031], dtype=float32), np.float32(12.035522)]","[[3.591741 ]
 [2.6913426]
 [2.078584 ]
 [1.4543574]
 [1.0167834]
 [1.2831672]
 [1.3167353]
 [1.5325845]
 [2.0488362]
 [3.274285 ]
 [3.9859078]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
9,851.7720947265625,492.0999450683594,869.631103515625,511.8865356445313,13.0,41.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_09-36-02_track_284_cam_0_tracking_21_processado.avi,994.3627319335938,0.34342411160469055,"[array([338.4283], dtype=float32), np.float32(8.909775)]","[[3.5813665]
 [2.7496474]
 [2.1173623]
 [1.5049977]
 [1.0433352]
 [1.260303 ]
 [1.3675916]
 [1.5521182]
 [2.0691137]
 [3.2630546]
 [4.037741 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
