,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,20.984554290771484,96.7770538330078,57.3271369934082,124.30493927001952,0.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_11-43-53_track_44_cam_0_tracking_9_processado.avi,75.90111,7.0002584,"[array([251.6737], dtype=float32), np.float32(39.94905)]","[[3.960091 ]
 [2.675481 ]
 [1.5905442]
 [1.4930749]
 [0.8924413]
 [1.1773683]
 [1.0026388]
 [1.3427248]
 [2.0835085]
 [3.2008367]
 [4.811494 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
1,33.422367095947266,99.85421752929688,68.53409576416016,126.55879974365234,1.0,1.0,./DATASET/results_videos_artigo/14-10-2024/14-10-2024_11-43-53_track_44_cam_0_tracking_9_processado.avi,81.15131,6.2411976,"[array([244.22891], dtype=float32), np.float32(42.019577)]","[[4.0495663]
 [2.7503455]
 [1.6114025]
 [1.314817 ]
 [0.8543625]
 [1.1153843]
 [1.0144995]
 [1.4156606]
 [2.0542824]
 [3.278535 ]
 [4.915295 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,0
